record_id,clause_number,family,word_count,char_count,length_bin,split
FAR52_0001,52.201-1,201,150,992,Q2_short,train
FAR52_0002,52.202-1,202,170,1015,Q2_short,validation
FAR52_0003,52.203-2,203,424,2599,Q4_long,train
FAR52_0004,52.203-3,203,228,1348,Q2_short,train
FAR52_0005,52.203-5,203,289,1810,Q3_medium,train
FAR52_0006,52.203-6,203,259,1694,Q3_medium,train
FAR52_0007,52.203-7,203,638,4059,Q4_long,train
FAR52_0008,52.203-8,203,250,1538,Q3_medium,train
FAR52_0009,52.203-10,203,509,3070,Q4_long,validation
FAR52_0010,52.203-11,203,362,2306,Q3_medium,train
FAR52_0011,52.203-12,203,1861,11966,Q5_longest,train
FAR52_0012,52.203-13,203,1416,9365,Q5_longest,train
FAR52_0013,52.203-14,203,316,2209,Q3_medium,train
FAR52_0014,52.203-15,203,97,638,Q1_shortest,train
FAR52_0015,52.203-16,203,1109,7704,Q5_longest,train
FAR52_0016,52.203-17,203,111,701,Q1_shortest,test
FAR52_0017,52.203-18,203,310,2304,Q3_medium,train
FAR52_0018,52.203-19,203,415,2940,Q4_long,test
FAR52_0019,52.204-1,204,44,274,Q1_shortest,train
FAR52_0020,52.204-2,204,626,4123,Q4_long,train
FAR52_0021,52.204-3,204,412,2653,Q4_long,test
FAR52_0022,52.204-5,204,136,846,Q2_short,train
FAR52_0023,52.204-6,204,286,1865,Q3_medium,train
FAR52_0024,52.204-7,204,603,3855,Q4_long,train
FAR52_0025,52.204-8,204,1648,11583,Q5_longest,train
FAR52_0026,52.204-9,204,235,1670,Q3_medium,train
FAR52_0027,52.204-10,204,1304,8580,Q5_longest,train
FAR52_0028,52.204-12,204,148,970,Q2_short,train
FAR52_0029,52.204-13,204,910,5974,Q5_longest,test
FAR52_0030,52.204-14,204,427,2896,Q4_long,train
FAR52_0031,52.204-15,204,443,3012,Q4_long,train
FAR52_0032,52.204-16,204,655,3939,Q4_long,train
FAR52_0033,52.204-17,204,379,2366,Q3_medium,train
FAR52_0034,52.204-18,204,420,2668,Q4_long,train
FAR52_0035,52.204-19,204,52,403,Q1_shortest,train
FAR52_0036,52.204-20,204,316,1966,Q3_medium,train
FAR52_0037,52.204-21,204,594,4414,Q4_long,train
FAR52_0038,52.204-22,204,164,1108,Q2_short,test
FAR52_0039,52.204-23,204,546,3539,Q4_long,train
FAR52_0040,52.204-24,204,1185,7921,Q5_longest,validation
FAR52_0041,52.204-25,204,1313,8716,Q5_longest,train
FAR52_0042,52.204-26,204,174,1296,Q2_short,validation
FAR52_0043,52.204-27,204,389,2700,Q4_long,validation
FAR52_0044,52.204-28,204,879,5768,Q5_longest,train
FAR52_0045,52.204-29,204,563,3554,Q4_long,train
FAR52_0046,52.204-30,204,2424,15222,Q5_longest,train
FAR52_0047,52.207-1,207,222,1512,Q2_short,train
FAR52_0048,52.207-2,207,166,1165,Q2_short,train
FAR52_0049,52.207-3,207,160,997,Q2_short,train
FAR52_0050,52.207-4,207,203,1690,Q2_short,train
FAR52_0051,52.207-5,207,261,1647,Q3_medium,validation
FAR52_0052,52.207-6,207,329,2145,Q3_medium,train
FAR52_0053,52.208-4,208,256,1534,Q3_medium,train
FAR52_0054,52.208-5,208,177,1136,Q2_short,train
FAR52_0055,52.208-6,208,123,782,Q1_shortest,train
FAR52_0056,52.208-7,208,83,533,Q1_shortest,test
FAR52_0057,52.208-9,208,306,1999,Q3_medium,train
FAR52_0058,52.209-1,209,484,3507,Q4_long,train
FAR52_0059,52.209-2,209,135,965,Q2_short,train
FAR52_0060,52.209-3,209,793,5036,Q5_longest,train
FAR52_0061,52.209-4,209,802,5130,Q5_longest,train
FAR52_0062,52.209-5,209,958,6030,Q5_longest,train
FAR52_0063,52.209-6,209,513,3424,Q4_long,train
FAR52_0064,52.209-7,209,554,3488,Q4_long,train
FAR52_0065,52.209-9,209,455,2955,Q4_long,validation
FAR52_0066,52.209-10,209,246,1567,Q3_medium,train
FAR52_0067,52.209-11,209,315,1981,Q3_medium,train
FAR52_0068,52.209-12,209,181,1168,Q2_short,train
FAR52_0069,52.209-13,209,905,5914,Q5_longest,train
FAR52_0070,52.209-14,209,481,3119,Q4_long,test
