record_id,clause_number,family,split,start_position,valid_tokens,padded_tokens,is_padded
FAR52_0001,52.201-1,201,train,0,256,0,False
FAR52_0001,52.201-1,201,train,128,256,0,False
FAR52_0001,52.201-1,201,train,256,256,0,False
FAR52_0001,52.201-1,201,train,384,256,0,False
FAR52_0001,52.201-1,201,train,512,256,0,False
FAR52_0001,52.201-1,201,train,640,256,0,False
FAR52_0001,52.201-1,201,train,744,256,0,False
FAR52_0001,52.201-1,201,train,768,232,24,True
FAR52_0001,52.201-1,201,train,896,104,152,True
FAR52_0002,52.202-1,202,validation,0,256,0,False
FAR52_0002,52.202-1,202,validation,128,256,0,False
FAR52_0002,52.202-1,202,validation,256,256,0,False
FAR52_0002,52.202-1,202,validation,384,256,0,False
FAR52_0002,52.202-1,202,validation,512,256,0,False
FAR52_0002,52.202-1,202,validation,640,256,0,False
FAR52_0002,52.202-1,202,validation,767,256,0,False
FAR52_0002,52.202-1,202,validation,768,255,1,True
FAR52_0002,52.202-1,202,validation,896,127,129,True
FAR52_0003,52.203-2,203,train,0,256,0,False
FAR52_0003,52.203-2,203,train,128,256,0,False
FAR52_0003,52.203-2,203,train,256,256,0,False
FAR52_0003,52.203-2,203,train,384,256,0,False
FAR52_0003,52.203-2,203,train,512,256,0,False
FAR52_0003,52.203-2,203,train,640,256,0,False
FAR52_0003,52.203-2,203,train,768,256,0,False
FAR52_0003,52.203-2,203,train,896,256,0,False
FAR52_0003,52.203-2,203,train,1024,256,0,False
FAR52_0003,52.203-2,203,train,1152,256,0,False
FAR52_0003,52.203-2,203,train,1280,256,0,False
FAR52_0003,52.203-2,203,train,1408,256,0,False
FAR52_0003,52.203-2,203,train,1536,256,0,False
FAR52_0003,52.203-2,203,train,1664,256,0,False
FAR52_0003,52.203-2,203,train,1792,256,0,False
FAR52_0003,52.203-2,203,train,1920,256,0,False
FAR52_0003,52.203-2,203,train,2048,256,0,False
FAR52_0003,52.203-2,203,train,2176,256,0,False
FAR52_0003,52.203-2,203,train,2304,256,0,False
FAR52_0003,52.203-2,203,train,2351,256,0,False
FAR52_0003,52.203-2,203,train,2432,175,81,True
FAR52_0003,52.203-2,203,train,2560,47,209,True
FAR52_0004,52.203-3,203,train,0,256,0,False
FAR52_0004,52.203-3,203,train,128,256,0,False
FAR52_0004,52.203-3,203,train,256,256,0,False
FAR52_0004,52.203-3,203,train,384,256,0,False
FAR52_0004,52.203-3,203,train,512,256,0,False
FAR52_0004,52.203-3,203,train,640,256,0,False
FAR52_0004,52.203-3,203,train,768,256,0,False
FAR52_0004,52.203-3,203,train,896,256,0,False
FAR52_0004,52.203-3,203,train,1024,256,0,False
